,,,,,,,,,,,,,,"23. Yes, average daily rate changes as per reservation status. For check-out status sum of adr is maximum and for canceled status average of adr is maximum.",,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Reservation_status,avg(adr),sum(adr),,,,,,,,,,,,,,,,
Check-Out,99.99,7515674.93,,,,,,,,,,,,,,,,
Canceled,105.21,4525613.87,,,,,,,,,,,,,,,,
No-Show,96.38,116328.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Reservation_status,sum(adr),,,
,,,,,,,,,,,,,,Check-Out,7515674.93,,,
,,,,,,,,,,,,,,Canceled,4525613.87,,,
,,,,,,,,,,,,,,No-Show,116328.8,,,
